objectid,pghdb_sde_permitparking_area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
25,,3841.74917448,14,10,V,SHADYSIDE,0,9.211,0.016,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Shadyside,V,V - Shadyside,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires June 1st,423036.65814209,3291.96716115113
26,,2428.37530794,32,31,AA,SQUIRREL HILL NORTH,0,4.906,0.008,1,Approved,,1 Hour,3 Days,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,,,,,Schenley Farms,AA,AA - Schenley Farms,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires July 1st,213714.273010254,2428.37490812515
27,,2428.37530794,32,31,AA,SQUIRREL HILL NORTH,0,4.906,0.008,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Beechview,AA,AA - Beechview,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires July 1st,39233.1823730469,794.019870310467
28,,,,,KK,SOUTH SIDE FLATS,,,,,,,,,,,,,,,,,,,KK,KK - South Side Flats,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires August 1st,1640491.94125366,11587.2841003332
29,,3930.03592424,19,101,O,HOMEWOOD SOUTH,0,11.006,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,S. Homewood-N. Point Breeze,O,O - S. Homewood-N. Point Breeze,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires October 1st,371999.055114746,2938.78263440274
30,,13806.086015,34,82,K,SQUIRREL HILL NORTH,0,93.042,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Squirrel Hill,K,K - Squirrel Hill,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires August 1st,4052919.03088379,13806.0859797584
31,,13806.086015,34,82,K,SQUIRREL HILL NORTH,0,93.042,0,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Squirrel Hill,K,K - Squirrel Hill,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires August 1st,77035.0971069336,1167.27824337537
32,,7149.1459306,12,87,Y,SHADYSIDE,0,38.224,0.053,1,Approved,,2 Hours,3 Days,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,,,,Shadyside,Y,Y - Shadyside,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires August 1st,1771786.45623779,9901.75505788661
33,,8878.73577554,43,4,D,CENTRAL OAKLAND,0,93.141,0.147,1,Approved,,1 Hour,3 Days,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,,,,Oakland,D,D - Oakland,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires September 1st,4057224.40789795,8878.73585752248
34,,5342.31941288,5,39,R,BLOOMFIELD,0,10.663,0.014,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,Bloomfield,R,R - Bloomfield,SDE,2020-03-04T14:08:19,SDE,2020-03-04T14:08:19,Permit Expires October 1st,979822.374206543,4144.41305805577
